snr,comb_amp,overlap,k,bias_plus,bias_plus,bias_plus,coverage,coverage,coverage
,,,,median,mean,max,median,mean,max
0.5,15.0,True,26,99.99997911156261,99.99999412306497,100.00004107340567,0.0,0.0,0.0
0.5,15.0,True,27,99.99998360108853,99.99999541198699,100.00004506691693,0.0,0.0,0.0
0.5,15.0,True,28,99.99997951577394,99.99998536890661,100.00003775496515,0.0,0.0,0.0
0.5,15.0,True,29,99.9999854367845,99.99998550220764,100.00003396684906,0.0,0.0,0.0
0.5,15.0,True,30,99.99999634683077,99.99998667911021,100.0000315539512,0.0,0.0,0.0
0.5,15.0,True,31,100.00000320828183,99.99999051832394,100.0000116712479,0.0,0.0,0.0
0.5,15.0,True,32,99.99999925263305,99.99999062445481,100.00001560508525,0.0,0.0,0.0
0.5,15.0,True,33,100.00000250607039,99.99999415889326,100.00001049786849,0.0,0.0,0.0
0.5,15.0,True,34,99.99998933499268,99.99999476988759,100.00001418030617,0.0,0.0,0.0
0.5,15.0,True,35,99.99999706554138,99.99999598620916,100.00002706748693,0.0,0.0,0.0
0.5,15.0,True,36,99.99999975546746,99.9999968149559,100.00001969552252,0.0,0.0,0.0
0.5,15.0,True,37,100.00002365728437,100.00001185769398,100.00003019519556,0.0,0.0,0.0
